location_unit,location_id,feature_window,scoring_period,april_volume_actual,workload_score,predicted_tier,high_workload_area_true,top_factors,model,model_version,feature_set_version,generated_at,advisory
fsa,M1B,2026-01..2026-03,2026-04,572,1.0,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M1E,2026-01..2026-03,2026-04,636,1.0,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M1K,2026-01..2026-03,2026-04,478,1.0,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M3H,2026-01..2026-03,2026-04,560,1.0,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M1L,2026-01..2026-03,2026-04,442,1.0,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M1N,2026-01..2026-03,2026-04,440,1.0,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M2N,2026-01..2026-03,2026-04,767,1.0,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M6N,2026-01..2026-03,2026-04,553,1.0,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M6M,2026-01..2026-03,2026-04,448,1.0,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M6K,2026-01..2026-03,2026-04,438,1.0,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M5R,2026-01..2026-03,2026-04,504,1.0,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M5A,2026-01..2026-03,2026-04,603,1.0,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M5M,2026-01..2026-03,2026-04,445,1.0,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M4M,2026-01..2026-03,2026-04,443,1.0,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M9A,2026-01..2026-03,2026-04,455,1.0,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M6S,2026-01..2026-03,2026-04,549,1.0,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M6P,2026-01..2026-03,2026-04,598,1.0,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M9W,2026-01..2026-03,2026-04,488,1.0,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M6J,2026-01..2026-03,2026-04,637,1.0,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M6H,2026-01..2026-03,2026-04,816,1.0,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M6G,2026-01..2026-03,2026-04,754,1.0,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M6E,2026-01..2026-03,2026-04,628,1.0,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M6C,2026-01..2026-03,2026-04,456,1.0,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M4J,2026-01..2026-03,2026-04,700,1.0,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M4K,2026-01..2026-03,2026-04,551,1.0,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M4E,2026-01..2026-03,2026-04,465,1.0,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M4C,2026-01..2026-03,2026-04,646,1.0,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M4L,2026-01..2026-03,2026-04,653,1.0,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M5V,2026-01..2026-03,2026-04,493,0.9999,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M5T,2026-01..2026-03,2026-04,444,0.9999,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M9C,2026-01..2026-03,2026-04,467,0.9999,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M1C,2026-01..2026-03,2026-04,596,0.9999,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M1W,2026-01..2026-03,2026-04,624,0.9998,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M4S,2026-01..2026-03,2026-04,337,0.0002,medium,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M8V,2026-01..2026-03,2026-04,408,0.0001,medium,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M4A,2026-01..2026-03,2026-04,144,0.0,low,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M3N,2026-01..2026-03,2026-04,233,0.0,low,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M3M,2026-01..2026-03,2026-04,252,0.0,medium,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M3L,2026-01..2026-03,2026-04,164,0.0,medium,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M3K,2026-01..2026-03,2026-04,117,0.0,medium,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M3J,2026-01..2026-03,2026-04,213,0.0,low,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M3C,2026-01..2026-03,2026-04,189,0.0,low,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M3B,2026-01..2026-03,2026-04,208,0.0,medium,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M2M,2026-01..2026-03,2026-04,337,0.0,medium,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M3A,2026-01..2026-03,2026-04,326,0.0,low,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M2R,2026-01..2026-03,2026-04,315,0.0,low,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M2P,2026-01..2026-03,2026-04,113,0.0,low,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M2K,2026-01..2026-03,2026-04,195,0.0,low,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M2L,2026-01..2026-03,2026-04,183,0.0,medium,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
