case_id,submitted_at,complaint_type,ward_or_area,source_channel,assigned_department,predicted_department,routing_confidence,status,is_open_true,stale_risk_score,advisory
TOR311-7B1939713E52,2026-04-26 16:20:52,Hazardous Waste Pick-up,Scarborough Southwest (20),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9999,New,1,0.0006,Staff decision support only. Not an automated decision.
TOR311-0AE8427F9F5A,2026-04-24 21:16:49,Road Pothole / Road Damage,Etobicoke Centre (02),Public 311 benchmark,Transportation Services,Transportation Services,1.0,In Progress,1,0.0588,Staff decision support only. Not an automated decision.
TOR311-062A7BDF9282,2026-04-26 13:16:42,Injured - Wildlife,Scarborough Southwest (20),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9991,Completed,0,0.0003,Staff decision support only. Not an automated decision.
TOR311-A1D2CC438A08,2026-04-07 16:19:37,Timeliness - Complaint - Toronto Water,Toronto-St. Paul's (12),Public 311 benchmark,Toronto Water,Toronto Water,0.9963,In Progress,1,0.7335,Staff decision support only. Not an automated decision.
TOR311-CCC14F44EF2D,2026-04-16 15:09:18,Traffic Signal Repair,Scarborough-Agincourt (22),Public 311 benchmark,Transportation Services,Transportation Services,0.9994,Completed,0,0.0108,Staff decision support only. Not an automated decision.
TOR311-091C345A23EE,2026-04-08 20:35:42,Residential Oversized/Electronics Item Day Collection Not Picked Up,Parkdale-High Park (04),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9977,Cancelled,0,0.0001,Staff decision support only. Not an automated decision.
TOR311-F02DD24AF338,2026-04-14 12:45:50,Catch Basin - Blocked / Flooding,Etobicoke Centre (02),Public 311 benchmark,Transportation Services,Transportation Services,0.9977,Completed,0,0.0247,Staff decision support only. Not an automated decision.
TOR311-BF967B17D30F,2026-04-01 15:16:29,Clean up Illegal Dumping on City Road Allowance,Scarborough-Rouge Park (25),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9873,Cancelled,0,0.0063,Staff decision support only. Not an automated decision.
TOR311-10409E7964E7,2026-04-01 15:01:06,General Tree Maintenance,Parkdale-High Park (04),Public 311 benchmark,"Environment, Climate & Forestry","Environment, Climate & Forestry",0.9916,New,1,0.7306,Staff decision support only. Not an automated decision.
TOR311-1BF3F08D2F7A,2026-04-27 09:09:17,Water Service Line-Turn Off/Burst,Etobicoke Centre (02),Public 311 benchmark,Toronto Water,Toronto Water,0.9974,Completed,0,0.2162,Staff decision support only. Not an automated decision.
TOR311-44C46A48850D,2026-04-27 20:23:25,Property Standards and Maintenance Violations,Davenport (09),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9999,In Progress,1,0.2318,Staff decision support only. Not an automated decision.
TOR311-B3FFF10A2E1A,2026-04-13 09:26:39,Investigate - Menace,Parkdale-High Park (04),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9922,Completed,0,0.0384,Staff decision support only. Not an automated decision.
TOR311-7FDA7F425846,2026-04-17 12:41:20,Staff Service - Compliment - Road Operations,Scarborough-Guildwood (24),Public 311 benchmark,Transportation Services,Transportation Services,0.9851,Completed,0,0.1089,Staff decision support only. Not an automated decision.
TOR311-4E9AB0F96D48,2026-04-11 18:18:47,Clean up Illegal Dumping on City Road Allowance,Toronto-Danforth (14),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9847,Completed,0,0.0116,Staff decision support only. Not an automated decision.
TOR311-A98810288B39,2026-04-08 16:49:53,Residential: Garbage Bin: Missing,Toronto Centre (13),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9966,Completed,0,0.0132,Staff decision support only. Not an automated decision.
TOR311-CC997A634C21,2026-04-22 03:54:59,Power Device Noise,Willowdale (18),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9809,In Progress,1,0.0195,Staff decision support only. Not an automated decision.
TOR311-CFAA009B7DFD,2026-04-10 13:19:43,Timeliness of Service - Complaint - Road Operations,University-Rosedale (11),Public 311 benchmark,Transportation Services,Transportation Services,0.9928,Completed,0,0.1502,Staff decision support only. Not an automated decision.
TOR311-EC631EB1DC45,2026-04-01 11:38:19,Walkway - Damaged or Uneven,Toronto Centre (13),Public 311 benchmark,Transportation Services,Transportation Services,0.9898,New,1,0.3634,Staff decision support only. Not an automated decision.
TOR311-5BC2CC98DBBC,2026-04-17 10:18:45,Road Pothole / Road Damage,Toronto-Danforth (14),Public 311 benchmark,Transportation Services,Transportation Services,1.0,Completed,0,0.0382,Staff decision support only. Not an automated decision.
TOR311-5B0FB70D6697,2026-04-03 16:52:10,Construction Noise,Eglinton-Lawrence (08),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9971,Completed,0,0.0105,Staff decision support only. Not an automated decision.
TOR311-F8D4A97FDFCA,2026-04-27 13:14:22,Report an Encroachment on City Property,Scarborough-Guildwood (24),Public 311 benchmark,Transportation Services,Transportation Services,0.9944,Completed,0,0.1617,Staff decision support only. Not an automated decision.
TOR311-36DA7B3EA808,2026-04-13 17:03:00,Clean up Debris on Road,Toronto-Danforth (14),Public 311 benchmark,Transportation Services,Transportation Services,0.9963,In Progress,1,0.0311,Staff decision support only. Not an automated decision.
TOR311-0E27F1933546,2026-04-13 12:01:43,Water Service Line-Check Water Service Box,Etobicoke-Lakeshore (03),Public 311 benchmark,Toronto Water,Toronto Water,0.9977,New,1,0.6189,Staff decision support only. Not an automated decision.
TOR311-970B8C05F53B,2026-04-26 19:38:56,Moving Motor Vehicle Noise,York Centre (06),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.997,Completed,0,0.0037,Staff decision support only. Not an automated decision.
TOR311-C21273F95612,2026-04-05 17:05:00,Injured - Wildlife,Parkdale-High Park (04),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9987,Completed,0,0.0007,Staff decision support only. Not an automated decision.
TOR311-A26C2C2A4AEC,2026-04-23 08:20:36,New Tree Planting,Spadina-Fort York (10),Public 311 benchmark,"Environment, Climate & Forestry","Environment, Climate & Forestry",0.9764,Completed,0,0.217,Staff decision support only. Not an automated decision.
TOR311-F657EA8A16A8,2026-04-23 16:41:32,Residential or Park Tree Removal,Don Valley North (17),Public 311 benchmark,"Environment, Climate & Forestry","Environment, Climate & Forestry",0.9888,New,1,0.8139,Staff decision support only. Not an automated decision.
TOR311-DFF78D40F77E,2026-04-04 23:12:50,Signs,York Centre (06),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9909,In Progress,1,0.0647,Staff decision support only. Not an automated decision.
TOR311-3CAB62556F10,2026-04-23 16:28:17,Residential Bin Lid Damaged,Eglinton-Lawrence (08),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9994,Completed,0,0.0004,Staff decision support only. Not an automated decision.
TOR311-577D61515F05,2026-04-06 17:49:59,Commercial Tree Planting,Spadina-Fort York (10),Public 311 benchmark,"Environment, Climate & Forestry","Environment, Climate & Forestry",0.7883,Completed,0,0.4174,Staff decision support only. Not an automated decision.
TOR311-086B7A326F95,2026-04-09 17:41:56,Curb - Damaged,Eglinton-Lawrence (08),Public 311 benchmark,Transportation Services,Transportation Services,0.986,In Progress,1,0.1227,Staff decision support only. Not an automated decision.
TOR311-864021B3D53E,2026-04-12 19:41:26,Residential Oversized/Electronics Item Day Collection Not Picked Up,Scarborough-Rouge Park (25),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9978,Completed,0,0.0001,Staff decision support only. Not an automated decision.
TOR311-0E76DF5069BF,2026-04-14 17:58:51,Road Pothole / Road Damage,Beaches-East York (19),Public 311 benchmark,Transportation Services,Transportation Services,1.0,Completed,0,0.0356,Staff decision support only. Not an automated decision.
TOR311-494820993411,2026-04-06 14:45:41,Missing/Damaged/Faded/Relocating Street Name or Traffic Signs,Davenport (09),Public 311 benchmark,Transportation Services,Transportation Services,0.9985,Completed,0,0.3453,Staff decision support only. Not an automated decision.
TOR311-405D5C78B499,2026-04-23 19:35:30,Road Pothole / Road Damage,Scarborough-Agincourt (22),Public 311 benchmark,Transportation Services,Transportation Services,1.0,Completed,0,0.0164,Staff decision support only. Not an automated decision.
TOR311-B725CCD9B234,2026-04-23 23:06:22,Residential - Garbage Day Collection - Not Picked Up,Davenport (09),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9998,Closed,0,0.0002,Staff decision support only. Not an automated decision.
TOR311-BDEA4533FDB2,2026-04-08 17:44:26,Residential Organic & Garbage Not Picked Up,Parkdale-High Park (04),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9972,Completed,0,0.0002,Staff decision support only. Not an automated decision.
TOR311-D1C9DA833828,2026-04-30 15:13:42,General Pruning,Scarborough Centre (21),Public 311 benchmark,"Environment, Climate & Forestry","Environment, Climate & Forestry",0.9941,New,1,0.9122,Staff decision support only. Not an automated decision.
TOR311-04FEC7156B06,2026-04-28 09:23:24,Park Litter and Garbage,Humber River-Black Creek (07),Public 311 benchmark,Parks and Recreation,Parks and Recreation,0.9702,Cancelled,0,0.0922,Staff decision support only. Not an automated decision.
TOR311-E3698EEF5501,2026-04-26 07:46:40,Property Standards and Maintenance Violations,Scarborough-Agincourt (22),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9999,Cancelled,0,0.1545,Staff decision support only. Not an automated decision.
TOR311-A2D6316A35BA,2026-04-29 11:56:36,Replace Missing Residential Organic Bin,Scarborough Southwest (20),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9941,In Progress,1,0.0002,Staff decision support only. Not an automated decision.
TOR311-EF688527C3D2,2026-04-18 14:20:57,Dog Off-Leash in a City Park,Davenport (09),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9948,Completed,0,0.097,Staff decision support only. Not an automated decision.
TOR311-C0E7DEB29014,2026-04-09 13:53:35,Curb Day Collection Staff - Complaint - Solid Waste Management,Don Valley East (16),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9926,Completed,0,0.0093,Staff decision support only. Not an automated decision.
TOR311-1F3EA6E57524,2026-04-21 14:00:01,Sewer Service Line-Blocked,Beaches-East York (19),Public 311 benchmark,Toronto Water,Toronto Water,0.9999,In Progress,1,0.136,Staff decision support only. Not an automated decision.
TOR311-CC489651E240,2026-04-22 13:48:55,Residential Bin Lid Damaged,University-Rosedale (11),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9996,Completed,0,0.0003,Staff decision support only. Not an automated decision.
TOR311-9C8B706A593E,2026-04-17 19:13:50,Residential - Garbage Night Collection - Not Picked Up,York South-Weston (05),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9948,Cancelled,0,0.0004,Staff decision support only. Not an automated decision.
TOR311-66C28DBED741,2026-04-29 15:01:41,Curb - Damaged,Spadina-Fort York (10),Public 311 benchmark,Transportation Services,Transportation Services,0.9861,New,1,0.3673,Staff decision support only. Not an automated decision.
TOR311-524D76157ABC,2026-04-03 11:23:38,River and Ravine Dumping,Don Valley North (17),Public 311 benchmark,Parks and Recreation,Parks and Recreation,0.9373,In Progress,1,0.2195,Staff decision support only. Not an automated decision.
TOR311-8750401A4412,2026-04-28 08:47:03,Clean up Illegal Dumping on City Road Allowance,Don Valley North (17),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9938,Completed,0,0.0173,Staff decision support only. Not an automated decision.
TOR311-608F7787F153,2026-04-27 09:48:51,Property Standards and Maintenance Violations,Willowdale (18),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9999,In Progress,1,0.2447,Staff decision support only. Not an automated decision.
TOR311-6335D53E6C67,2026-04-04 05:21:59,Restoration Related,Don Valley West (15),Public 311 benchmark,Toronto Water,Toronto Water,0.992,Completed,0,0.2698,Staff decision support only. Not an automated decision.
TOR311-7C118FAB9B15,2026-04-27 11:31:15,Clean up Debris on Road,York South-Weston (05),Public 311 benchmark,Transportation Services,Transportation Services,0.9959,Completed,0,0.0132,Staff decision support only. Not an automated decision.
TOR311-F500C63B2E87,2026-04-02 07:53:07,Residential - Garbage Day Collection - Not Picked Up,Toronto-St. Paul's (12),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9998,Completed,0,0.0006,Staff decision support only. Not an automated decision.
TOR311-FE3299E240B0,2026-04-21 16:26:17,Zoning Regulations Violations,Willowdale (18),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9958,In Progress,1,0.3247,Staff decision support only. Not an automated decision.
TOR311-E2D7DDA89B05,2026-04-01 18:04:01,Road - Sinking,Scarborough Centre (21),Public 311 benchmark,Transportation Services,Transportation Services,0.9967,Completed,0,0.028,Staff decision support only. Not an automated decision.
TOR311-22453BC0ED70,2026-04-06 12:33:09,Multi-Tenant Houses Licensing and Violations,Davenport (09),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9886,Completed,0,0.1892,Staff decision support only. Not an automated decision.
TOR311-74308FE2684F,2026-04-10 10:39:48,Investigate - Animal to Human Bite,Spadina-Fort York (10),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9954,Completed,0,0.0083,Staff decision support only. Not an automated decision.
TOR311-FF3CD7C8D838,2026-04-27 08:09:08,Water Service Line - Low Pressure|| Low Flow Inspection - (Sudden),Etobicoke North (01),Public 311 benchmark,Toronto Water,Toronto Water,0.9952,New,1,0.3702,Staff decision support only. Not an automated decision.
TOR311-8C8DEE9C4018,2026-04-05 19:48:32,Injured - Wildlife,Don Valley North (17),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9982,Completed,0,0.0018,Staff decision support only. Not an automated decision.
TOR311-4999D8B6168A,2026-04-03 21:10:36,Waste Set Out - Wrong Location / Time/ Day,Davenport (09),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9959,Closed,0,0.1817,Staff decision support only. Not an automated decision.
TOR311-E883F34D8A5B,2026-04-14 16:03:48,Timeliness - Complaint - Toronto Water,York Centre (06),Public 311 benchmark,Toronto Water,Toronto Water,0.9973,Cancelled,0,0.8643,Staff decision support only. Not an automated decision.
TOR311-B1533275EB5A,2026-04-05 01:36:49,Process or Procedure - Complaint - Toronto Water,Toronto-St. Paul's (12),Public 311 benchmark,Toronto Water,Toronto Water,0.9939,Completed,0,0.4657,Staff decision support only. Not an automated decision.
TOR311-7251127A66B8,2026-04-01 20:40:37,Property Standards and Maintenance Violations,Scarborough-Guildwood (24),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9999,Completed,0,0.1891,Staff decision support only. Not an automated decision.
TOR311-CCC3E4D35AE8,2026-04-15 17:51:37,General Pruning,Scarborough North (23),Public 311 benchmark,"Environment, Climate & Forestry","Environment, Climate & Forestry",0.9941,New,1,0.9541,Staff decision support only. Not an automated decision.
TOR311-F30D5F50AA45,2026-04-09 20:08:29,Clean up Litter on Sidewalks and Boulevards,Etobicoke North (01),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9645,Completed,0,0.0054,Staff decision support only. Not an automated decision.
TOR311-B8519D2A26E6,2026-04-18 16:44:08,Postering City Property / Structures,Willowdale (18),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9955,Completed,0,0.0495,Staff decision support only. Not an automated decision.
TOR311-4C1860468823,2026-04-23 17:22:45,Water Meter Strong Leak or Burst,Etobicoke Centre (02),Public 311 benchmark,Toronto Water,Toronto Water,0.9948,Completed,0,0.3042,Staff decision support only. Not an automated decision.
TOR311-7847022753A3,2026-04-01 19:43:51,Water Service Line-No Water,Etobicoke-Lakeshore (03),Public 311 benchmark,Toronto Water,Toronto Water,0.9994,Completed,0,0.0767,Staff decision support only. Not an automated decision.
TOR311-D458E9DE9878,2026-04-20 12:04:39,Waste or Illegal Dumping on Private Property,Scarborough-Guildwood (24),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9985,In Progress,1,0.275,Staff decision support only. Not an automated decision.
TOR311-21A31DFE062C,2026-04-22 18:11:04,Clean up Needles or Syringes,Toronto Centre (13),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9663,Completed,0,0.0479,Staff decision support only. Not an automated decision.
TOR311-26E5ABFD4A07,2026-04-18 08:35:19,Report an Encroachment on City Property,Parkdale-High Park (04),Public 311 benchmark,Transportation Services,Transportation Services,0.9954,Completed,0,0.3771,Staff decision support only. Not an automated decision.
TOR311-BEC44945E8A3,2026-04-07 14:23:49,Residential Bin Lid Damaged,Etobicoke-Lakeshore (03),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9992,Completed,0,0.0006,Staff decision support only. Not an automated decision.
TOR311-03DCD071A36F,2026-04-13 13:01:21,Clean up Illegal Dumping on City Road Allowance,Toronto Centre (13),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9919,Completed,0,0.0156,Staff decision support only. Not an automated decision.
TOR311-24237016BB3C,2026-04-21 19:08:12,Residential Organics Not Picked Up,Etobicoke-Lakeshore (03),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9947,Completed,0,0.0003,Staff decision support only. Not an automated decision.
TOR311-A2A2B7326632,2026-04-13 12:12:38,Residential or Park Tree Removal,Etobicoke Centre (02),Public 311 benchmark,"Environment, Climate & Forestry","Environment, Climate & Forestry",0.9932,New,1,0.7548,Staff decision support only. Not an automated decision.
TOR311-87E4763801B7,2026-04-01 07:42:03,Zoning Regulations Violations,Willowdale (18),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9961,Completed,0,0.3564,Staff decision support only. Not an automated decision.
TOR311-130A6B621760,2026-04-01 18:13:07,New Tree Planting,Spadina-Fort York (10),Public 311 benchmark,"Environment, Climate & Forestry","Environment, Climate & Forestry",0.9798,In Progress,1,0.3808,Staff decision support only. Not an automated decision.
TOR311-E7651E86548E,2026-04-27 12:42:45,Additional Residential Organic Bin,Toronto-St. Paul's (12),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9903,Completed,0,0.005,Staff decision support only. Not an automated decision.
TOR311-24EB69EFE184,2026-04-26 20:44:48,Road Pothole / Road Damage,University-Rosedale (11),Public 311 benchmark,Transportation Services,Transportation Services,1.0,Completed,0,0.0461,Staff decision support only. Not an automated decision.
TOR311-866522C0BD39,2026-04-30 12:38:34,Boulevards - Damaged Asphalt,Scarborough-Rouge Park (25),Public 311 benchmark,Transportation Services,Transportation Services,0.9923,In Progress,1,0.3597,Staff decision support only. Not an automated decision.
TOR311-4D477F1C7C00,2026-04-14 09:48:33,Postering City Property / Structures,Willowdale (18),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9952,Completed,0,0.0449,Staff decision support only. Not an automated decision.
TOR311-DD90F6546977,2026-04-21 15:31:30,Road Pothole / Road Damage,Humber River-Black Creek (07),Public 311 benchmark,Transportation Services,Transportation Services,0.9999,New,1,0.1795,Staff decision support only. Not an automated decision.
TOR311-9DE7E7C8BA21,2026-04-06 10:24:17,Damaged or Shifted Concrete or Planter Bike Lane Barrier,Toronto-St. Paul's (12),Public 311 benchmark,Transportation Services,Transportation Services,0.9871,Completed,0,0.2905,Staff decision support only. Not an automated decision.
TOR311-10229F99BC6A,2026-04-25 10:26:36,Traffic Signal Repair,Toronto-Danforth (14),Public 311 benchmark,Transportation Services,Transportation Services,0.9986,Completed,0,0.0473,Staff decision support only. Not an automated decision.
TOR311-7AD39AB01742,2026-04-02 08:44:54,Residential - Garbage Day Collection - Not Picked Up,Scarborough Southwest (20),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9998,Cancelled,0,0.0002,Staff decision support only. Not an automated decision.
TOR311-1277E93801A8,2026-04-03 23:13:36,Amplified or Musical Instrument Noise,Etobicoke-Lakeshore (03),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9984,Completed,0,0.0338,Staff decision support only. Not an automated decision.
TOR311-8BC9A5AB093F,2026-04-10 15:38:41,Sidewalk - Cleaning,Davenport (09),Public 311 benchmark,Transportation Services,Transportation Services,0.995,Completed,0,0.5382,Staff decision support only. Not an automated decision.
TOR311-2F2A6AA53D24,2026-04-30 16:26:20,Sidewalk - Cleaning,Spadina-Fort York (10),Public 311 benchmark,Transportation Services,Transportation Services,0.9925,Completed,0,0.674,Staff decision support only. Not an automated decision.
TOR311-7F5F7E83B370,2026-04-08 15:52:18,Illegal Off-Street Parking,Davenport (09),Public 311 benchmark,Transportation Services,Transportation Services,0.9962,Completed,0,0.4482,Staff decision support only. Not an automated decision.
TOR311-760D49ABF612,2026-04-10 17:29:56,Injured - Wildlife,Etobicoke Centre (02),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9986,Completed,0,0.0003,Staff decision support only. Not an automated decision.
TOR311-50ED6B199852,2026-04-10 20:15:06,Residential Yard Waste Whole Street Not Picked Up,Davenport (09),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9932,Completed,0,0.0007,Staff decision support only. Not an automated decision.
TOR311-B5F9DC158BA2,2026-04-01 18:00:46,Traffic Infiltration,York Centre (06),Public 311 benchmark,Transportation Services,Transportation Services,0.9639,Completed,0,0.4173,Staff decision support only. Not an automated decision.
TOR311-C5EE6A570694,2026-04-28 12:39:36,Property Standards and Maintenance Violations,Davenport (09),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9999,In Progress,1,0.4006,Staff decision support only. Not an automated decision.
TOR311-3624F16B2DE3,2026-04-25 12:09:55,Moving Motor Vehicle Noise,Scarborough-Agincourt (22),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9924,Completed,0,0.0252,Staff decision support only. Not an automated decision.
TOR311-744AFE328A4E,2026-04-29 15:07:03,Staff Service - Complaint - 311 Toronto,Spadina-Fort York (10),Public 311 benchmark,311,311,0.9836,Completed,0,0.1771,Staff decision support only. Not an automated decision.
TOR311-3901BD266369,2026-04-10 17:16:45,Boulevard Plow Damage,Scarborough-Rouge Park (25),Public 311 benchmark,Transportation Services,Transportation Services,0.9963,Completed,0,0.4715,Staff decision support only. Not an automated decision.
TOR311-A5ECF8CC4B4B,2026-04-06 08:26:04,Pick up Dead Wildlife,Scarborough Southwest (20),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9985,Completed,0,0.0004,Staff decision support only. Not an automated decision.
TOR311-B01AB7D90359,2026-04-15 18:21:57,Road Pothole / Road Damage,Eglinton-Lawrence (08),Public 311 benchmark,Transportation Services,Transportation Services,1.0,Completed,0,0.1911,Staff decision support only. Not an automated decision.
TOR311-82C7D1F5A2B6,2026-04-27 11:50:39,Request Water Service Turn Off,Etobicoke-Lakeshore (03),Public 311 benchmark,Toronto Water,Toronto Water,0.997,In Progress,1,0.2865,Staff decision support only. Not an automated decision.
